Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"CROCHET PATTERN & VIDEO/ Old Town Tee, Granny Stitch T-Shirt, Top-Down Crochet Pattern, Sizes Xs-5X, Quick crochet project, Women&#39;s Crochet",https://www.etsy.com/listing/4345024679/crochet-pattern-video-old-town-tee,MJsOffTheHookDesigns,https://www.etsy.com/shop/MJsOffTheHookDesigns,16.06,253,4063,-33,1731,141,9 Mo.,1619,16,33094,Craft Supplies & Tools,105,100,5.23,506549,"crochet tee,t-shirt pattern,crochet shirt,summer crochet,crochet top,mjs off the hook,granny stitch,granny shirt pattern,easy crochet,quick crochet,trending crochet,best crochet top,old town tee",crochet tee,t-shirt pattern,crochet shirt,summer crochet,crochet top,mjs off the hook,granny stitch,granny shirt pattern,easy crochet,quick crochet,trending crochet,best crochet top,old town tee
Crochet Pattern / Zero-Waste Project Tutorial / Easy Scrappy Crochet Bag / Made From T-shirt Yarn / Upcycled / Remnant Bag Pattern PDF,https://www.etsy.com/listing/4477993954/crochet-pattern-zero-waste-project,MakeAndDoCrew,https://www.etsy.com/shop/MakeAndDoCrew,16.62,163,2709,0,306,26,2 Mo.,444,13,20595,Craft Supplies & Tools,71,100,1.49,133393,"t-shirt yarn pattern,fabric yarn crochet,scrap yarn crochet,rag crochet pattern,crochet around core,zero waste crochet,crochet bag pattern,eco friendly crochet,slow fashion crochet,sustainable crochet,upcycled clothing,stash buster,core crochet",t-shirt yarn pattern,fabric yarn crochet,scrap yarn crochet,rag crochet pattern,crochet around core,zero waste crochet,crochet bag pattern,eco friendly crochet,slow fashion crochet,sustainable crochet,upcycled clothing,stash buster,core crochet
The Original Donut Bag (2 SIZES) by bygalk. Beginner-friendly Crochet Bag Pattern with full video tutorial  + step-by-step photo guides,https://www.etsy.com/listing/1845303281/the-donut-bag-2-sizes-by-bygalk-beginner,Bygalk,https://www.etsy.com/shop/Bygalk,14.22,149,2119,-50,2650,170,17 Mo.,2116,10,73517,Craft Supplies & Tools,40,100,3.6,20110,"crochet,crochet bag pattern,easy crochet,trendy crochet bag,crochet ideas,chunky crochet bag,crochet handbag,crochet tutorial,bag crochet video,t-shirt yarn crochet,tutorial for crochet,bag crochet,stylish crochet bag",crochet,crochet bag pattern,easy crochet,trendy crochet bag,crochet ideas,chunky crochet bag,crochet handbag,crochet tutorial,bag crochet video,t-shirt yarn crochet,tutorial for crochet,bag crochet,stylish crochet bag
"Mothman Crochets at Night Crochet Mothman T-Shirt | Cryptid Goth Crochet, crocheting tshirt, crytpid lover, crocheter gift",https://www.etsy.com/listing/4433323396/mothman-crochets-at-night-crochet,Snitchescrochetshop,https://www.etsy.com/shop/Snitchescrochetshop,23.99,38,912,100,47,12,5 Mo.,249,2,1214,Clothing,51,60,3.87,1135,"crochet mothman,cryptid crochet,goth crochet shirt,crocheter gift,funny crochet tee,mothman t shirt,cryptid lover gift,crochet hobby tee,nighttime crochet,cute cryptid shirt,spooky craft gift,handmade craft tee,crochet enthusiast",crochet mothman,cryptid crochet,goth crochet shirt,crocheter gift,funny crochet tee,mothman t shirt,cryptid lover gift,crochet hobby tee,nighttime crochet,cute cryptid shirt,spooky craft gift,handmade craft tee,crochet enthusiast
"Cute Goose Crocheting Shirt, Funny Yarn Lover Tee, Crochet Gift for Women, Animal Crochet Shirt, Goose Yarn Craft Graphic T Shirt",https://www.etsy.com/listing/4367788972/cute-goose-crocheting-shirt-funny-yarn,SimplySoaring,https://www.etsy.com/shop/SimplySoaring,15.30,55,842,50,409,57,8 Mo.,1516,7,18123,Clothing,78,100,2.26,2957,"crochet lover shirt,funny crochet tee,comfort colors top,duck crochet shirt,yarn lover gift,crochet humor tee,goose crochet shirt,crochet maker tee,crochet addict top,cute crochet design,crochet shirt,yarn shirt,goose shirt",crochet lover shirt,funny crochet tee,comfort colors top,duck crochet shirt,yarn lover gift,crochet humor tee,goose crochet shirt,crochet maker tee,crochet addict top,cute crochet design,crochet shirt,yarn shirt,goose shirt
"Crochet top pattern PDF, beginner friendly, modern summer top, easy crochet shirt pattern, women clothing pattern",https://www.etsy.com/listing/4338060506/crochet-t-shirt-pattern-diy-summer-top,Johannascrafting,https://www.etsy.com/shop/Johannascrafting,5.82,141,821,80,376,16,10 Mo.,955,2,14398,Craft Supplies & Tools,25,100,2.61,4754,"crochet t-shirt patt,diy summer top,easy crochet top,crochet blouse patte,summer clothing patt,instant download pat,handmade top tutoria,women crochet top,summer wardrobe diy,boho top pattern,crochet fashion patt,lightweight summer t,beginner crochet pro",crochet t-shirt patt,diy summer top,easy crochet top,crochet blouse patte,summer clothing patt,instant download pat,handmade top tutoria,women crochet top,summer wardrobe diy,boho top pattern,crochet fashion patt,lightweight summer t,beginner crochet pro
"Crochet Bag PATTERN: Lydia T-shirt Yarn Hobo Bag, DIY Chunky Egg Shaped Handbag, Fringed Women Purse Pdf/Video (Digital Download)",https://www.etsy.com/listing/4428535653/crochet-bag-pattern-lydia-t-shirt-yarn,LanezDesignStore,https://www.etsy.com/shop/LanezDesignStore,3.95,175,691,0,595,35,5 Mo.,1441,7,20617,Craft Supplies & Tools,44,100,2.89,18276,"crochet bag pattern,t-shirt yarn bag,hobo bag pattern,chunky purse,packable handbag,crochet bag pdf,easy crochet diy,cotton winter bag,t-shirt summer bag,easy modern crochet,gift for her,bag video tutorial,woven women bag",crochet bag pattern,t-shirt yarn bag,hobo bag pattern,chunky purse,packable handbag,crochet bag pdf,easy crochet diy,cotton winter bag,t-shirt summer bag,easy modern crochet,gift for her,bag video tutorial,woven women bag
"Black Lace Blouse: Women&#39;s 3/4 Sleeve Floral Top, USA Made",https://www.etsy.com/listing/1455860635/black-lace-blouse-womens-34-sleeve,LavenderTribeDesign,https://www.etsy.com/shop/LavenderTribeDesign,68.00,9,612,-100,129,40,37 Mo.,390,1,6506,Clothing,64,51,1.98,29786,"vintage,organic cotton,plus size blouse,folk blouse,western blouse,black lace blouse,crochet lace,handmade blouse,black shirt,custom t-shirt,western shirt,vintage denim,lavender tribe",vintage,organic cotton,plus size blouse,folk blouse,western blouse,black lace blouse,crochet lace,handmade blouse,black shirt,custom t-shirt,western shirt,vintage denim,lavender tribe
Godiva Tee Crochet Pattern: Oversized Summer Top (PDF Pattern),https://www.etsy.com/listing/1724425948/godiva-tee-crochet-pattern-oversized,HeartHookHome,https://www.etsy.com/shop/HeartHookHome,15.00,39,585,0,172,13,24 Mo.,508,1,4720,Craft Supplies & Tools,111,54,3.64,92336,"crochet tee,crochet tee shirt,crochet t-shirt,crochet top,summer crochet,summer crochet top,tee shirt crochet,t-shirt crochet,crochet shirt",crochet tee,crochet tee shirt,crochet t-shirt,crochet top,summer crochet,summer crochet top,tee shirt crochet,t-shirt crochet,crochet shirt,--,--,--,--
"Crochet Tote, Shoulder Bag, Purse - Handmade Gifts for Her",https://www.etsy.com/listing/4386519019/crochet-tote-shoulder-bag-purse-handmade,KnottyGalsTO,https://www.etsy.com/shop/KnottyGalsTO,145.96,4,584,0,3,1,7 Mo.,11,0,517,Bags & Purses,8,30,0.58,11,"crochet tote bag,chunky crochet purse,t-shirt yarn bag,handmade tote bag,boho crochet bag,crochet handbag,chunky knit tote,crochet everyday bag,handmade tote,holiday gift for her,christmas gift,unique gifts for her,gift for teen girl",crochet tote bag,chunky crochet purse,t-shirt yarn bag,handmade tote bag,boho crochet bag,crochet handbag,chunky knit tote,crochet everyday bag,handmade tote,holiday gift for her,christmas gift,unique gifts for her,gift for teen girl
PATTERN: No-Sew Crochet Bunny and No-Sew Teddy Bear Pattern Set with Panda and T-Shirt mod,https://www.etsy.com/listing/1589683663/pattern-no-sew-crochet-bunny-and-no-sew,NooksHooksShop,https://www.etsy.com/shop/NooksHooksShop,8.43,68,573,-33,2624,238,31 Mo.,1710,8,25183,Craft Supplies & Tools,31,100,10.42,16385,"crochet,pattern,no sew pattern,bunny,teddy,crochet pattern,bear,winnie,pooh",crochet,pattern,no sew pattern,bunny,teddy,crochet pattern,bear,winnie,pooh,--,--,--,--
"Comfort Colors Easter ObGyn Nurse shirt, Funny ObGyn Staff Easter Shirt, Yarn Nurse Spring Shirt, Group Matching shirts",https://www.etsy.com/listing/4443885455/comfort-colors-easter-obgyn-nurse-shirt,BlaineCottage,https://www.etsy.com/shop/BlaineCottage,23.99,21,504,300,25,5,4 Mo.,2,1,24,Clothing,34,0,104.17,744,"t-shirt tshirt tee,matching group,team crew staff,tall letters,comfort colors,office staff,hospital staff,trendy easter shirt,spring easter tshirt,lpn rn np apn,yarn crochet bunny,obstetrics gyn,obgyn nurse",t-shirt tshirt tee,matching group,team crew staff,tall letters,comfort colors,office staff,hospital staff,trendy easter shirt,spring easter tshirt,lpn rn np apn,yarn crochet bunny,obstetrics gyn,obgyn nurse
Comfort Colors Zebra Shirt Faux Embroidered Yarn Zebra T-Shirt Trendy Zebra Tshirt Safari Animals Tshirt Animal Lover Gift Womens Zebra Tee,https://www.etsy.com/listing/4389400160/comfort-colors-zebra-shirt-faux,DoryJaneDesigns,https://www.etsy.com/shop/DoryJaneDesigns,30.98,15,465,0,22,5,7 Mo.,42,1,483,Clothing,18,30,4.55,3726,"crochet zebra,faux yarn zebra,faux embroidered,safari animals tee,animal lover,zebra t-shirt,popular zebra tshirt,trendy zebra t-shirt,wildlife lover,animal gifts,womens animal tee,retro crochet,retro zebra shirt",crochet zebra,faux yarn zebra,faux embroidered,safari animals tee,animal lover,zebra t-shirt,popular zebra tshirt,trendy zebra t-shirt,wildlife lover,animal gifts,womens animal tee,retro crochet,retro zebra shirt
Crochet t-shirt pattern,https://www.etsy.com/listing/4416007242/crochet-t-shirt-pattern,HaeklebySiljaGellert,https://www.etsy.com/shop/HaeklebySiljaGellert,6.23,74,461,-100,24,2,5 Mo.,518,0,2744,Craft Supplies & Tools,8,100,0.87,74,"crochet pattern,mohair,crochet top,homemade,clothes",crochet pattern,mohair,crochet top,homemade,clothes,--,--,--,--,--,--,--,--
"Chunky Cotton T-Shirt Yarn: 9-11mm, 65m - Crochet Basket, Crib, Rug",https://www.etsy.com/listing/4353626621/chunky-cotton-t-shirt-yarn-9-11mm-65m,MarmeladYarn,https://www.etsy.com/shop/MarmeladYarn,17.00,27,459,0,110,15,9 Mo.,532,2,36240,Craft Supplies & Tools,31,100,0.3,2241,"cotton yarn,tshirt yarn,soft yarn,chunky yarn,gift for crocheter,bulky yarn,baby cradle yarn,moses basket yarn,yarn for crib,crochet cradle yarn,crochet tshirt yarn,yarn for big basket,changing basket yarn",cotton yarn,tshirt yarn,soft yarn,chunky yarn,gift for crocheter,bulky yarn,baby cradle yarn,moses basket yarn,yarn for crib,crochet cradle yarn,crochet tshirt yarn,yarn for big basket,changing basket yarn
Shopper Bag - Crochet Bag Shopper - Gehäkelte Tasche aus T-Shirt Garn,https://www.etsy.com/listing/4447431892/crochet-bag-shopper-gehakelte-tasche-aus,acrochetbag,https://www.etsy.com/shop/acrochetbag,75.68,6,454,0,2,1,4 Mo.,1,0,69,Bags & Purses,16,0,2.9,215,"",--,--,--,--,--,--,--,--,--,--,--,--,--
"Crochet T-Shirt Yarn Handbag Pattern + Video Tutorial, Small Bag with Chain Strap",https://www.etsy.com/listing/4448564161/crochet-t-shirt-yarn-handbag-pattern,GannaBag,https://www.etsy.com/shop/GannaBag,7.47,60,448,0,56,4,4 Mo.,334,1,3361,Craft Supplies & Tools,29,100,1.67,283,"crochet bag pattern,crochet purse,crochet bag diy,shoulder bag pattern,tshirt yarn bag,tshirt bag pattern,tshirt yarn purse,crossbody pattern,crossbody purse,purse pattern,video tutorial,crochet pattern,gift for her",crochet bag pattern,crochet purse,crochet bag diy,shoulder bag pattern,tshirt yarn bag,tshirt bag pattern,tshirt yarn purse,crossbody pattern,crossbody purse,purse pattern,video tutorial,crochet pattern,gift for her
CROCHET PATTERN & VIDEO Summer Twill Tee | Simple Stylish Sleeveless Top | Size Inclusive | Instant Download Pdf Crochet Pattern by HanJan,https://www.etsy.com/listing/1426393785/crochet-pattern-video-summer-twill-tee,HanJanCrochet,https://www.etsy.com/shop/HanJanCrochet,15.99,28,448,0,794,59,39 Mo.,2159,2,27198,Craft Supplies & Tools,172,100,2.92,107320,"beginner friendly,crochet top,sleeveless,spring crochet,crochet fashion,handmade fashion,easy crochet,crochet t shirt,crochet clothing,size inclusive,summer crochet diy,sleeveless sweater,womens crochet top",beginner friendly,crochet top,sleeveless,spring crochet,crochet fashion,handmade fashion,easy crochet,crochet t shirt,crochet clothing,size inclusive,summer crochet diy,sleeveless sweater,womens crochet top
"Embroidered Funny Crochet Shirt, Crochet Lover Tshirt, Cat Crochet Lover T Shirt, Gift for Her, Funny Mom Gift - F-5-Center",https://www.etsy.com/listing/4353659404/embroidered-funny-crochet-shirt-crochet,WearableWitUS,https://www.etsy.com/shop/WearableWitUS,39.98,9,444,100,259,65,9 Mo.,1022,7,11577,Clothing,21,100,2.24,13708,"crochet lover shirt,crochet shirt,crochet gift,funny crochet tee,crafter gift,crafting shirt,crafting tshirt,crochet tshirt,gift for mom,best gifts for her,womens clothing,christmas gifts",crochet lover shirt,crochet shirt,crochet gift,funny crochet tee,crafter gift,crafting shirt,crafting tshirt,crochet tshirt,gift for mom,best gifts for her,womens clothing,christmas gifts,--
"Personalized Easter Bunny Shirt for Kids,Custom Name Toddler T-Shirt,Faux Crochet Bunny Ears Shirt,Easter Outfit for Boys Girls,PRINT DESIGN",https://www.etsy.com/listing/4451930271/personalized-easter-bunny-shirt-for-kids,EverPlain,https://www.etsy.com/shop/EverPlain,12.99,33,429,-100,129,25,3 Mo.,63,8,4390,Clothing,13,100,2.94,1460,"personalized easter,easter bunny shirt,kids easter shirt,custom name shirt,toddler easter tee,easter outfit kids,custom kids shirt,bunny name shirt,easter gift kids,boys easter shirt,girls easter shirt,spring kids shirt,easter toddler",personalized easter,easter bunny shirt,kids easter shirt,custom name shirt,toddler easter tee,easter outfit kids,custom kids shirt,bunny name shirt,easter gift kids,boys easter shirt,girls easter shirt,spring kids shirt,easter toddler
Patron Sac Hobo au Crochet PDF + Vidéo | Pochette Crochet Moderne en Fil T-Shirt | Tutoriel Débutant | Français & Anglais,https://www.etsy.com/listing/1695746645/tutoriel-sac-hobo-au-crochet-pdfvideo,CrochetAim,https://www.etsy.com/shop/CrochetAim,13.94,30,418,0,214,23,26 Mo.,1732,1,51446,Craft Supplies & Tools,38,100,0.42,1549,"sac a main au crochet tutoriel,tuto pochette au crochet,sac au crochet patron facile,modele sac a main au crochet,tutoriel video sac au crochet,mini sac en crochet,mini pochette au crochet,sac au crochet pour l'ete,tutoriel sac crochet francais,patron crochet francais,sac hobo crochet,sac crochet debutant,sac en fil t shirt",sac a main au crochet tutoriel,tuto pochette au crochet,sac au crochet patron facile,modele sac a main au crochet,tutoriel video sac au crochet,mini sac en crochet,mini pochette au crochet,sac au crochet pour l'ete,tutoriel sac crochet francais,patron crochet francais,sac hobo crochet,sac crochet debutant,sac en fil t shirt
"LULU Bag Crochet Pattern: Beginner-Friendly T-shirt Yarn Handbag (English PDF + Video), Custom size",https://www.etsy.com/listing/1838956577/lulu-bag-crochet-pattern-beginner,BarwyShop,https://www.etsy.com/shop/BarwyShop,7.03,58,408,-100,113,13,17 Mo.,689,1,11076,Bags & Purses,20,100,1.02,645,"crochet bag pattern,yarn bag pattern,video bag tutorial,beginner bag pattern,learn how to crochet,easy bag pattern,easy crochet bag,crochet yourself bag,custom bag pattern,tshirt crochet bag,crochet handmade bag,handbag pattern,crochet tutorial",crochet bag pattern,yarn bag pattern,video bag tutorial,beginner bag pattern,learn how to crochet,easy bag pattern,easy crochet bag,crochet yourself bag,custom bag pattern,tshirt crochet bag,crochet handmade bag,handbag pattern,crochet tutorial
Handmade Colorful Crochet Bag – Rainbow Woven Purse – Yarn Crossbody – Perfect Summer or Festival Bag,https://www.etsy.com/listing/4297438406/handmade-colorful-crochet-bag-rainbow,DESarjOL,https://www.etsy.com/shop/DESarjOL,96.99,4,388,0,0,1,13 Mo.,27,0,265,Bags & Purses,36,0,0.0,35,"rainbow yarn bag,crochet shoulder bag,t-shirt yarn purse,rainbow crossbody,boho festival purse,colorful crochet bag,summer handmade bag,handmade boho purse,unique handmade bag,handwoven summer bag,handmade bag,rainbow purse,festival bag",rainbow yarn bag,crochet shoulder bag,t-shirt yarn purse,rainbow crossbody,boho festival purse,colorful crochet bag,summer handmade bag,handmade boho purse,unique handmade bag,handwoven summer bag,handmade bag,rainbow purse,festival bag
"i just want to knit and hang out with my dog shirt, Knit Gift | Cute Knitting Shirt | Knitting Tshirt | Crochet Gift | Gifts For Knitter",https://www.etsy.com/listing/1765432432/i-just-want-to-knit-and-hang-out-with-my,TuckersTees,https://www.etsy.com/shop/TuckersTees,15.95,24,383,100,315,74,21 Mo.,513,4,7162,Clothing,53,81,4.4,14439,"knitting tshirt,funny knitting shirt,gift for knitter,knitting t shirts,gift for grandma,knitting tee,shirt for knitter,gift for mom,knitting lover shirt,knitting t-shirt,crocheting shirt,cute knitting shirt,knitting lover gift",knitting tshirt,funny knitting shirt,gift for knitter,knitting t shirts,gift for grandma,knitting tee,shirt for knitter,gift for mom,knitting lover shirt,knitting t-shirt,crocheting shirt,cute knitting shirt,knitting lover gift
BYLYNSEY. Crochet Kindle Sleeve in ‘Pretty Pink’,https://www.etsy.com/listing/4401754333/bylynsey-crochet-kindle-sleeve-in-pretty,bylynseylondon,https://www.etsy.com/shop/bylynseylondon,29.32,13,381,-100,16,8,6 Mo.,88,1,0,Electronics & Accessories,15,78,0.0,156,"crochet,t shirt yarn,handmade,kindle,kindle sleeve,kindle case,e-reader,e-reader sleeve,sustainable,yarn",crochet,t shirt yarn,handmade,kindle,kindle sleeve,kindle case,e-reader,e-reader sleeve,sustainable,yarn,--,--,--
Totebag &quot;Bree&quot; aus T-Shirt Garn gehäkelt; Henkeltasche; (Häkel-)Handtasche in diversen Farben; Handmade Crochet Bag; Korb; Basket; TikTok,https://www.etsy.com/listing/1744712607/totebag-bree-aus-t-shirt-garn-gehakelt,byluustudio,https://www.etsy.com/shop/byluustudio,91.89,4,368,0,29,16,23 Mo.,192,1,9554,Bags & Purses,24,99,0.3,207,"tasche,handtasche,crochetbag,häkeltasche,sommer,damen,tiktok,trend,modern,personalisierbar,individuell,bunt,nachhaltig",tasche,handtasche,crochetbag,häkeltasche,sommer,damen,tiktok,trend,modern,personalisierbar,individuell,bunt,nachhaltig
"TOTE BAG | Chunky Small Handbag Crochet Pattern, Tshirt Yarn, English PDF Document | Festnetz Bags",https://www.etsy.com/listing/1528290710/tote-bag-chunky-large-shopper-bag,FESTNETZ,https://www.etsy.com/shop/FESTNETZ,7.55,48,362,0,3008,186,33 Mo.,3347,6,86521,Craft Supplies & Tools,44,100,3.48,11629,"festnetz crochet bag,chunky t-shirt yarn,gehäkelte tasche,tiktok crochet,summer handmade bag,trendy accessories,easy crochet pattern,beginner pattern,crochet barbie,tote bag pattern,summer bag tutorial,cute crochet pattern,crochet shopper",festnetz crochet bag,chunky t-shirt yarn,gehäkelte tasche,tiktok crochet,summer handmade bag,trendy accessories,easy crochet pattern,beginner pattern,crochet barbie,tote bag pattern,summer bag tutorial,cute crochet pattern,crochet shopper
"Tutoriel Mini Sac au Crochet (PDF+Video), Patron Crochet Anglais/Français, Modèle Pochette au Crochet, Guide étape par étape, DIY Sac",https://www.etsy.com/listing/4340499265/tutoriel-mini-sac-au-crochet-pdfvideo,CrochetAim,https://www.etsy.com/shop/CrochetAim,11.62,30,349,0,103,7,10 Mo.,173,1,3353,Craft Supplies & Tools,38,81,3.07,1549,"sac a main au crochet tutoriel,tuto pochette au crochet,tutoriel crochet debutant,sac au crochet patron facile,modele sac a main au crochet,tutoriel video sac au crochet,mini sac en crochet,mini pochette au crochet,cadeau fait par soi meme,sac au crochet pour l'ete,diy sac crochet,cadeau faire soi meme crochet,sac en fil t-shirt",sac a main au crochet tutoriel,tuto pochette au crochet,tutoriel crochet debutant,sac au crochet patron facile,modele sac a main au crochet,tutoriel video sac au crochet,mini sac en crochet,mini pochette au crochet,cadeau fait par soi meme,sac au crochet pour l'ete,diy sac crochet,cadeau faire soi meme crochet,sac en fil t-shirt
"Wooden Tray and Basket Base, Laser Cut Wood Bottom, Walnut, White Maple, Wenge or Light Wood, Craft Supplies for Basket Makers, DIY Crochet",https://www.etsy.com/listing/1317621359/wooden-crochet-basket-tray-base-bottom,PerfectYarns,https://www.etsy.com/shop/PerfectYarns,10.46,31,324,800,314,42,43 Mo.,382,1,9808,Craft Supplies & Tools,113,63,3.2,276185,"wooden bottoms,t-shirt yarn base,crochet wood bottom,crochet wood base,wood basket base,wood tray base,wood tray bottom,crochet tray base,crochet tray bottom,t-shirt basket dıy,round oval wood base,square wood base",wooden bottoms,t-shirt yarn base,crochet wood bottom,crochet wood base,wood basket base,wood tray base,wood tray bottom,crochet tray base,crochet tray bottom,t-shirt basket dıy,round oval wood base,square wood base,--
Crochet Tee Pattern PDF (English) - Sol Tee,https://www.etsy.com/listing/4493278259/crochet-tee-pattern-pdf-english-sol-tee,LolaCrochetsStore,https://www.etsy.com/shop/LolaCrochetsStore,8.40,36,302,0,33,2,1 Mo.,114,2,1407,Craft Supplies & Tools,66,100,2.35,11538,"crochet top,crochet tee,crochet tank,crochet jersey,crochet tank top,crochet summer,crochet tshirt,crochet t-shirt,crochet pullover,crochet undershirt,crochet cardigan,crochet sweater,crochet cardi",crochet top,crochet tee,crochet tank,crochet jersey,crochet tank top,crochet summer,crochet tshirt,crochet t-shirt,crochet pullover,crochet undershirt,crochet cardigan,crochet sweater,crochet cardi
Crochet Top Pattern PDF (English + Español) - The Señorita Top,https://www.etsy.com/listing/1034432193/crochet-top-pattern-pdf-english-espanol,LolaCrochetsStore,https://www.etsy.com/shop/LolaCrochetsStore,8.40,36,302,300,2007,119,59 Mo.,4769,2,48825,Clothing,66,100,4.11,11538,"crochet top,crochet tank,crochet t-shirt,crochet tshirt,crochet summer,tank crochet,top crochet,tshirt crochet,t-shirt crochet,crochet crop top,crop top crochet",crochet top,crochet tank,crochet t-shirt,crochet tshirt,crochet summer,tank crochet,top crochet,tshirt crochet,t-shirt crochet,crochet crop top,crop top crochet,--,--
"Cashtan Crochet Sweater Pattern, Top Down, Short & Long Sleeve, Beginner Friendly, Video Tutorial PDF",https://www.etsy.com/listing/4450975178/crochet-pattern-the-cashtan-crochet,rubywebbs,https://www.etsy.com/shop/rubywebbs,7.00,43,301,0,72,5,3 Mo.,197,2,4707,Craft Supplies & Tools,190,100,1.53,253843,"sweater pattern,crochet sweater,crochet top pattern,seamless sweater,raglan crochet,modern crochet top,easy crochet sweater,crochet sweater pat,crochet pullover,women's crochet top,top down crochet,crochet t-shirt,crochet pattern",sweater pattern,crochet sweater,crochet top pattern,seamless sweater,raglan crochet,modern crochet top,easy crochet sweater,crochet sweater pat,crochet pullover,women's crochet top,top down crochet,crochet t-shirt,crochet pattern
"Funny Crochet Shirts,Yarn Lover Gift, Yarn Whisperer Tshirt, Gift for Grandma, Knitting Shirts for Women, Love Yarn Shirt, Crochet T-Shirt",https://www.etsy.com/listing/4301012151/funny-crochet-shirtsyarn-lover-gift-yarn,PersonalizedTeesUSA,https://www.etsy.com/shop/PersonalizedTeesUSA,15.90,18,286,100,32,5,12 Mo.,18,0,335,Clothing,13,0,9.55,3545,"things do spare time,yarn lover shirt,gift for grandma,gift for yarn lover,knitting shirt,yarn graphic tees,funny crafts shirt,knitting gifts,mothers day shirt,shirt for women,yarn whisperer,crochet lover gift,funny yarn shirt",things do spare time,yarn lover shirt,gift for grandma,gift for yarn lover,knitting shirt,yarn graphic tees,funny crafts shirt,knitting gifts,mothers day shirt,shirt for women,yarn whisperer,crochet lover gift,funny yarn shirt
"Crochet Cat Cave Pattern, Chunky Cat House PDF, Easy Crochet Pet Bed Tutorial, T-shirt Yarn Cat Nest, Modern Pet Furniture Pattern",https://www.etsy.com/listing/4469450349/crochet-cat-cave-pattern-chunky-cat,LittleYarnLabStore,https://www.etsy.com/shop/LittleYarnLabStore,5.31,53,281,0,53,1,2 Mo.,32,1,365,Craft Supplies & Tools,2,51,14.52,160,"crochet cat cave,cat house pattern,pet bed tutorial,chunky yarn bed,cat nest pattern,t-shirt yarn diy,modern pet decor,digital download,easy crochet gift,cat lover gift,cozy cat hideout,crochet pet house,handmade cat bed",crochet cat cave,cat house pattern,pet bed tutorial,chunky yarn bed,cat nest pattern,t-shirt yarn diy,modern pet decor,digital download,easy crochet gift,cat lover gift,cozy cat hideout,crochet pet house,handmade cat bed
Mens Button Up Crochet Shirt Pattern Summer Mesh Top Pattern | Amalfi Crochet Collared Shirt Pattern,https://www.etsy.com/listing/4472144970/mens-button-up-crochet-shirt-pattern,MacyPatterns,https://www.etsy.com/shop/MacyPatterns,3.30,84,277,-100,79,4,2 Mo.,205,2,2688,Craft Supplies & Tools,4,100,2.94,955,"mjs off the hook,crochet raglan,easy crochet t-shirt,granny stitch shirt,crochet collar shirt,crochet button down,granny square shirt,easy crochet mens,seamless crochet top,crochet shirt pdf,festival crochet top,crochet top pattern,mens crochet top",mjs off the hook,crochet raglan,easy crochet t-shirt,granny stitch shirt,crochet collar shirt,crochet button down,granny square shirt,easy crochet mens,seamless crochet top,crochet shirt pdf,festival crochet top,crochet top pattern,mens crochet top
"T-SHIRT YARN SET 4 Colors Cherry, 30 Meters, Premium TShirt Yarn, Bag Yarn, Bulky Yarn, Basket Yarn, 100% Cotton Textile Yarn Ukrainian Yarn",https://www.etsy.com/listing/4388618690/t-shirt-yarn-set-4-colors-cherry-30,TrikolinoDesign,https://www.etsy.com/shop/TrikolinoDesign,29.98,9,270,-100,7,1,7 Mo.,10,0,329,Craft Supplies & Tools,8,25,2.13,427,"t-shirt yarn,tshirt cotton yarn,basket yarn,shirt yarn,bag yarn,textile yarn,macrame yarn,cotton yarn,bulky yarn,ukrainian yarn,premium yarn,chunky yarn,gift for crocheter",t-shirt yarn,tshirt cotton yarn,basket yarn,shirt yarn,bag yarn,textile yarn,macrame yarn,cotton yarn,bulky yarn,ukrainian yarn,premium yarn,chunky yarn,gift for crocheter
"T shirt Yarn, basket yarn, fabric yarn, yarn shirt, bag yarn, textile yarn, crochet yarn, 225 grams, 45 meters, 8 oz, 49 yards, 15-35 mm,",https://www.etsy.com/listing/656050572/t-shirt-yarn-basket-yarn-fabric-yarn,PerfectYarns,https://www.etsy.com/shop/PerfectYarns,29.04,9,261,-100,1796,240,89 Mo.,2505,3,103117,Craft Supplies & Tools,113,100,1.74,276185,"tshirt yarn,fabric yarn,yarn t-shirt,yarn wall hangings,basket crochet,knitting basket,crochet rug,knitting bag,crochet bag,bulky yarn,jersey yarn,hobby lobby t shirt,bobilon yarn",tshirt yarn,fabric yarn,yarn t-shirt,yarn wall hangings,basket crochet,knitting basket,crochet rug,knitting bag,crochet bag,bulky yarn,jersey yarn,hobby lobby t shirt,bobilon yarn
